Classes,Population,P: Condition positive,N: Condition negative,Test outcome positive,Test outcome negative,TP: True Positive,TN: True Negative,FP: False Positive,FN: False Negative,"TPR: (Sensitivity, hit rate, recall)",TNR=SPC: (Specificity),PPV: Pos Pred Value (Precision),NPV: Neg Pred Value,FPR: False-out,FDR: False Discovery Rate,FNR: Miss Rate,ACC: Accuracy,F1 score,MCC: Matthews correlation coefficient,Informedness,Markedness,Prevalence,LR+: Positive likelihood ratio,LR-: Negative likelihood ratio,DOR: Diagnostic odds ratio,FOR: False omission rate
Pariah_kite,1564,34,1530,39,1525,32,1523,7,2,0.9411764705882353,0.9954248366013072,0.8205128205128205,0.9986885245901639,0.004575163398692811,0.1794871794871795,0.058823529411764705,0.9942455242966752,0.8767123287671232,0.8759366704704665,0.9366013071895425,0.8192013451029845,0.021739130434782608,205.7142857142857,0.05909389363099146,3481.142857142857,0.0013114754098360656
Partridge,1564,42,1522,48,1516,42,1516,6,0,1.0,0.9960578186596584,0.875,1.0,0.003942181340341655,0.125,0.0,0.9961636828644501,0.9333333333333333,0.9335687394762107,0.9960578186596583,0.875,0.026854219948849106,253.66666666666669,0.0,inf,0.0
Peacock,1564,64,1500,57,1507,57,1500,0,7,0.890625,1.0,1.0,0.9953550099535501,0.0,0.0,0.109375,0.9955242966751918,0.9421487603305785,0.9415349466376066,0.890625,0.99535500995355,0.04092071611253197,inf,0.109375,inf,0.0046449900464499
Pied_myna,1564,19,1545,22,1542,19,1542,3,0,1.0,0.9980582524271845,0.8636363636363636,1.0,0.001941747572815534,0.13636363636363635,0.0,0.9980818414322251,0.926829268292683,0.9284176860785653,0.9980582524271844,0.8636363636363638,0.012148337595907928,515.0,0.0,inf,0.0
Pied_wagtail,1564,58,1506,51,1513,51,1506,0,7,0.8793103448275862,1.0,1.0,0.9953734302709848,0.0,0.0,0.1206896551724138,0.9955242966751918,0.9357798165137615,0.935543774605869,0.8793103448275863,0.9953734302709849,0.0370843989769821,inf,0.1206896551724138,inf,0.004626569729015202
Pigeon,1564,50,1514,51,1513,46,1509,5,4,0.92,0.9966974900924703,0.9019607843137255,0.9973562458691342,0.0033025099075297227,0.09803921568627451,0.08,0.9942455242966752,0.9108910891089109,0.9079656735615295,0.9166974900924703,0.8993170301828597,0.0319693094629156,278.576,0.0802650762094102,3470.7000000000003,0.0026437541308658294
Pond_heron,1564,31,1533,38,1526,30,1525,8,1,0.967741935483871,0.994781474233529,0.7894736842105263,0.9993446920052425,0.005218525766470972,0.21052631578947367,0.03225806451612903,0.9942455242966752,0.8695652173913043,0.8713530588245758,0.9625234097174,0.7888183762157688,0.019820971867007674,185.4435483870968,0.032427287149656266,5718.750000000001,0.000655307994757536
Red_wattled_lapwing,1564,42,1522,43,1521,41,1520,2,1,0.9761904761904762,0.9986859395532195,0.9534883720930233,0.9993425378040762,0.001314060446780552,0.046511627906976744,0.023809523809523808,0.9980818414322251,0.9647058823529412,0.9637906319581492,0.9748764157436955,0.9528309098970995,0.026854219948849106,742.8809523809523,0.023840852130325812,31160.0,0.0006574621959237344
Rufous_backed_shrike,1564,54,1510,55,1509,52,1507,3,2,0.9629629629629629,0.9980132450331126,0.9454545454545454,0.998674618952949,0.001986754966887417,0.05454545454545454,0.037037037037037035,0.9968030690537084,0.9541284403669725,0.9525154404369608,0.9609762079960755,0.9441291644074945,0.034526854219948847,484.69135802469134,0.037110767037774335,13060.666666666666,0.0013253810470510272
Shikra,1564,58,1506,50,1514,48,1504,2,10,0.8275862068965517,0.99867197875166,0.96,0.9933949801849405,0.0013280212483399733,0.04,0.1724137931034483,0.9923273657289002,0.8888888888888888,0.8875530443493064,0.8262581856482116,0.9533949801849406,0.0370843989769821,623.1724137931035,0.1726430667644901,3609.6000000000004,0.0066050198150594455
Sunbird,1564,51,1513,65,1499,50,1498,15,1,0.9803921568627451,0.9900859220092532,0.7692307692307693,0.9993328885923949,0.00991407799074686,0.23076923076923078,0.0196078431372549,0.989769820971867,0.8620689655172413,0.8636400767304978,0.9704780788719982,0.7685636578231643,0.03260869565217391,98.88888888888889,0.019804183355585224,4993.333333333333,0.00066711140760507
Tailor_bird,1564,43,1521,55,1509,40,1506,15,3,0.9302325581395349,0.9901380670611439,0.7272727272727273,0.9980119284294234,0.009861932938856016,0.2727272727272727,0.06976744186046512,0.9884910485933504,0.8163265306122449,0.8170255149118953,0.9203706252006789,0.7252846557021506,0.027493606138107418,94.32558139534883,0.07046233669971277,1338.6666666666667,0.0019880715705765406
White_breasted_kingfisher,1564,36,1528,33,1531,33,1528,0,3,0.9166666666666666,1.0,1.0,0.9980404964075767,0.0,0.0,0.08333333333333333,0.9980818414322251,0.9565217391304348,0.9564886068533586,0.9166666666666665,0.9980404964075769,0.023017902813299233,inf,0.08333333333333333,inf,0.001959503592423253
White_breasted_water_hen,1564,49,1515,47,1517,46,1514,1,3,0.9387755102040817,0.9993399339933994,0.9787234042553191,0.998022412656559,0.0006600660066006601,0.02127659574468085,0.061224489795918366,0.9974424552429667,0.9583333333333334,0.9572357786357122,0.938115444197481,0.9767458169118781,0.03132992327365729,1422.2448979591836,0.06126492869274526,23214.666666666668,0.001977587343441002
